id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url,africaCategory,africaRegion,headquarters,fundingModel,operatingStatus,careersLinkQuality,organizationClass,activeInCountry,regionalOffice
129,CAMFED,Campaign for Female Education,African Education NGO,Sub-Saharan Africa,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Education, digital platforms, data systems and programme management. Directory entry; verify current openings on the official source.",Official careers page,https://camfed.org/about-us/jobs/,Technology & Civic Tech,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Africa-wide / not specified
130,Forum for African Women Educationalists,FAWE,African Education Network,Africa-wide,Kenya,Kenya,High,Needs Verification,,2026-07-20,"Education, gender equality, digital learning and regional programmes. Directory entry; verify current openings on the official source.",Official organization website,https://fawe.org/,Technology & Civic Tech,East Africa,Kenya,Not specified — verify from official reports,Directory entry — current country operations require official verification,General website / careers not confirmed,Technology & Civic Tech,Not verified — confirm on the official country page,Kenya
131,African Leadership Academy,ALA,African Education Organization,Africa-wide,South Africa,South Africa,High,Needs Verification,,2026-07-20,"Education technology, leadership development, data and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.africanleadershipacademy.org/careers/,Technology & Civic Tech,Southern Africa,South Africa,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,South Africa
132,African Leadership University,ALU,African Higher Education Organization,Africa-wide,Rwanda / Mauritius,Rwanda / Mauritius,High,Needs Verification,,2026-07-20,"Digital education, technology, operations and leadership development. Directory entry; verify current openings on the official source.",Official careers page,https://www.alueducation.com/careers/,Technology & Civic Tech,East Africa,Rwanda / Mauritius,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Rwanda / Mauritius
133,Tostan,West African development organization,African Development NGO,West Africa,Senegal,Senegal,High,Needs Verification,,2026-07-20,"Community development, digital learning, monitoring data and programmes. Directory entry; verify current openings on the official source.",Official careers page,https://www.tostan.org/careers/,Technology & Civic Tech,West Africa,Senegal,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Senegal
134,Africa Check,Independent fact-checking organization,African Media & Civil Society,Africa-wide,South Africa,South Africa,High,Needs Verification,,2026-07-20,"Data, media technology, research, product and digital operations. Directory entry; verify current openings on the official source.",Official careers page,https://africacheck.org/careers,Research & Policy,Southern Africa,South Africa,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Research & Policy,Not verified — confirm on the official country page,South Africa
135,Code for Africa,Civic technology network,African Civic Technology Organization,Africa-wide,Kenya,Kenya,High,Needs Verification,,2026-07-20,"Civic technology, data, digital products, AI and programme management. Directory entry; verify current openings on the official source.",Official careers page,https://codeforafrica.org/jobs/,Technology & Civic Tech,East Africa,Kenya,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Kenya
136,Paradigm Initiative,Digital rights organization,African Civic Technology Organization,Africa-wide,Nigeria,Nigeria,High,Needs Verification,,2026-07-20,"Digital inclusion, policy, technology, data and regional programmes. Directory entry; verify current openings on the official source.",Official careers page,https://paradigmhq.org/careers/,Research & Policy,West Africa,Nigeria,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Research & Policy,Not verified — confirm on the official country page,Nigeria
137,African Centre for Economic Transformation,ACET,African Policy Institute,Africa-wide,Ghana,Ghana,High,Needs Verification,,2026-07-20,"Economic policy, digital transformation, data and programme delivery. Directory entry; verify current openings on the official source.",Official careers page,https://acetforafrica.org/careers/,Research & Policy,West Africa,Ghana,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Research & Policy,Not verified — confirm on the official country page,Ghana
138,African Wildlife Foundation,AWF,Conservation NGO,Africa-wide,Kenya,Kenya,High,Needs Verification,,2026-07-20,"Conservation technology, GIS, data, digital systems and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.awf.org/about/careers,Technology & Civic Tech,East Africa,Kenya,Foundation-funded / grant-making,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Kenya
139,African Parks,Conservation organization,Conservation NGO,Africa-wide,South Africa,South Africa,High,Needs Verification,,2026-07-20,"Conservation operations, GIS, technology, data and park management. Directory entry; verify current openings on the official source.",Official careers page,https://www.africanparks.org/about-us/careers,Technology & Civic Tech,Southern Africa,South Africa,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,South Africa
140,Wildlife Conservation Society Africa,WCS,Conservation NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Conservation science, GIS, technology, data and country operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.wcs.org/about-us/careers,Technology & Civic Tech,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Africa-wide / not specified
141,BirdLife International Africa,Conservation partnership,Conservation NGO,Africa-wide,Kenya,Kenya,High,Needs Verification,,2026-07-20,"Conservation data, GIS, digital systems and regional programmes. Directory entry; verify current openings on the official source.",Official careers page,https://www.birdlife.org/careers/,Technology & Civic Tech,East Africa,Kenya,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Kenya
142,International Union for Conservation of Nature,IUCN Africa,Conservation Network,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Conservation, climate, data, programme systems and regional operations. Directory entry; verify current openings on the official source.",Official organization website,https://www.iucn.org/about-iucn/work-us,Governance & Development,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,General website / careers not confirmed,Governance & Development,Not verified — confirm on the official country page,Africa-wide / not specified
143,Akili Dada,African girls’ leadership organization,African Civil Society NGO,East Africa,Kenya,Kenya,High,Needs Verification,,2026-07-20,"Leadership, education, digital engagement and programme management. Directory entry; verify current openings on the official source.",Official organization website,https://akilidada.org/,Technology & Civic Tech,East Africa,Kenya,Not specified — verify from official reports,Directory entry — current country operations require official verification,General website / careers not confirmed,Technology & Civic Tech,Not verified — confirm on the official country page,Kenya
144,LEAP Africa,Youth leadership development organization,African Development NGO,West Africa,Nigeria,Nigeria,High,Needs Verification,,2026-07-20,"Youth leadership, digital learning, data and programme operations. Directory entry; verify current openings on the official source.",Official careers page,https://leapafrica.org/careers/,Technology & Civic Tech,West Africa,Nigeria,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Nigeria
145,BudgIT,Civic technology organization,African Civic Technology Organization,West Africa,Nigeria,Nigeria,High,Needs Verification,,2026-07-20,"Public finance data, civic technology, digital products and governance. Directory entry; verify current openings on the official source.",Official careers page,https://budgit.org/careers/,Technology & Civic Tech,West Africa,Nigeria,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Nigeria
146,Co-Creation Hub,CcHUB,African Technology & Innovation Organization,Africa-wide,Nigeria / Kenya / Rwanda,Nigeria / Kenya / Rwanda,High,Needs Verification,,2026-07-20,"Technology innovation, digital products, research and ecosystem programmes. Directory entry; verify current openings on the official source.",Official careers page,https://cchub.africa/careers/,Research & Policy,East Africa,Nigeria / Kenya / Rwanda,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Research & Policy,Not verified — confirm on the official country page,Nigeria / Kenya / Rwanda
147,iHub,African innovation hub,African Technology & Innovation Organization,East Africa,Kenya,Kenya,High,Needs Verification,,2026-07-20,"Technology ecosystem, innovation, research, digital products and programmes. Directory entry; verify current openings on the official source.",Official organization website,https://ihub.co.ke/,Research & Policy,East Africa,Kenya,Not specified — verify from official reports,Directory entry — current country operations require official verification,General website / careers not confirmed,Research & Policy,Not verified — confirm on the official country page,Kenya
148,Africa’s Talking,Pan-African technology company,African Technology Organization,Africa-wide,Kenya,Kenya,High,Needs Verification,,2026-07-20,"Communications platforms, developer technology, cloud services and operations. Directory entry; verify current openings on the official source.",Official careers page,https://africastalking.com/careers,Technology & Civic Tech,East Africa,Kenya,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Kenya
